Countries and territories,Country Code,% 0-14,% 15-64,% 65 and above,Population total,% Male,% Female,Current health expenditure (% of GDP),GDP per capita (current US$)
Afghanistan,AFG,43.09017551,54.32489755,2.58492694,37172386.0,51.3641533,48.6358467,10.19867734,520.8966027
Albania,ALB,17.67287372,68.58239036,13.74473591,2866376.0,50.9369054,49.0630946,6.69789475,5268.848504
Algeria,DZA,30.14867859,63.48882487,6.362496545,42228429.0,50.51573212,49.48426788,6.648475,4114.715061
American Samoa,ASM,,,,55465.0,,,,11466.690709999999
Andorra,AND,,,,77006.0,,,10.36772767,42029.76274
Angola,AGO,46.80892471,50.97470164,2.2163736480000003,30809762.0,49.46953707,50.53046293,2.87782524,3432.3857359999997
Antigua_and_Barbuda,ATG,22.08109175,69.11908273,8.79982552,96286.0,48.21150371,51.78849629,4.30900835,16726.98081
Arab World,ARB,32.78043618,62.6616874,4.557876424,419790588.0,51.80967177,48.19032823,4.887915232,6608.8069780000005
Argentina,ARG,24.76093384,64.12127729,11.11778888,44494502.0,48.76265155,51.23734845,7.54838404,11683.94962
Armenia,ARM,20.63342192,68.11276042,11.25381766,2951776.0,47.04342285,52.95657715,9.92732109,4212.070943
Aruba,ABW,17.80244697,68.64660589,13.55094714,105845.0,47.46896434,52.53103566,,
Australia,AUS,19.19061704,65.15290773,15.65647523,24992369.0,49.80037676,50.19962324,9.25209201,57373.68667999999
Austria,AUT,14.29794763,66.70048591,19.00156646,8847037.0,49.17057335,50.82942665,10.43762567,51461.95478
Azerbaijan,AZE,23.36956986,70.43524739,6.195182751,9942334.0,49.8842509,50.1157491,6.89059972,4721.178086999999
Bahamas,BHS,22.48487567,70.25752197,7.257602357000001,385640.0,48.57494781,51.42505219,6.37542177,32217.87159
Bahrain,BHR,19.25431012,78.319356,2.4263338780000003,1569439.0,63.65174839,36.34825161,4.86947429,24050.75751
Bangladesh,BGD,27.70602248,67.13558688,5.15839064,161356039.0,50.61270333,49.38729667,2.36505997,1698.262802
Barbados,BRB,17.34294815,66.85435789,15.80269396,286641.0,48.32716997,51.67283003,6.96244846,17949.28151
Belarus,BLR,16.86594305,68.28890878,14.84514817,9485386.0,46.54394578,53.45605422,6.31679395,6289.938553
Belgium,BEL,17.05542276,64.1558335,18.78874374,11422068.0,49.40668061,50.59331939,10.03841793,47518.63604
Belize,BLZ,30.27976537,64.98377585,4.736458777,383071.0,49.80747694,50.19252306,6.12137415,4884.742421
Benin,BEN,42.44768239,54.29871231,3.253605297,11485048.0,49.901798299999996,50.098201700000004,3.85561779,901.5438712000001
Bermuda,BMU,,,,63968.0,,,,
Bhutan,BTN,25.77135373,68.22563455,6.003011712999999,754394.0,52.99736478,47.00263522,3.45418055,3243.231125
